Rank,Release,Genre,Budget,Running Time,Gross,Theaters,Total Gross,Release Date,Distributor,Estimated
57,Haunted Mansion,-,-,-,"$1,561,026",289,"$1,561,026",Jul 28,Walt Disney Studios Motion Pictures,false
58,Coup de chance,-,-,-,"$1,558,008",233,"$1,571,091",Sep 29,Wanda Visión S.A.,false
59,My Loneliness Has Wings,-,-,-,"$1,475,753",296,"$1,475,753",Aug 25,Warner Bros.,false
60,Knock at the Cabin,-,-,-,"$1,414,341",323,"$1,414,341",Feb 3,Universal Pictures International (UPI),false
61,Shazam! Fury of the Gods,-,-,-,"$1,402,279",333,"$1,402,279",Mar 17,Warner Bros.,false
62,The Marvels,-,-,-,"$1,379,499",332,"$1,656,391",Nov 10,Walt Disney Studios Motion Pictures,false
63,No Hard Feelings,-,-,-,"$1,342,820",336,"$1,342,820",Jun 23,Sony Pictures Entertainment (SPE),false
64,Expend4bles,-,-,-,"$1,298,370",313,"$1,298,370",Sep 29,Vértice 360,false
65,After Everything,-,-,-,"$1,289,204",322,"$1,289,204",Sep 15,Sun Distribution,false
66,Alimañas,-,-,-,"$1,268,245",332,"$1,268,245",Oct 27,Sony Pictures Entertainment (SPE),false
67,Titanic25 Year Anniversary,-,-,-,"$1,229,878",290,"$1,229,878",Feb 10,Walt Disney Studios Motion Pictures,false
68,The Boogeyman,-,-,-,"$1,190,241",264,"$1,190,241",Jun 2,Walt Disney Studios Motion Pictures,false
69,Triangle of Sadness,-,-,-,"$1,142,408",177,"$1,159,105",Feb 17,Avalon,false
70,The Boy and the Heron,-,-,-,"$1,137,276",151,"$1,139,566",Oct 27,Vértigo Films,false
71,65,-,-,-,"$1,123,267",334,"$1,123,267",Mar 24,Sony Pictures Releasing,false
72,The Banshees of Inisherin,-,-,-,"$1,082,846",184,"$1,082,846",Feb 3,Walt Disney Studios Motion Pictures,false
73,All the Names of God,-,-,-,"$1,027,357",283,"$1,027,357",Sep 15,-,false
74,Fatum,-,-,-,"$1,021,093",313,"$1,021,093",Apr 28,Universal Pictures International (UPI),false
75,Irati,-,-,-,"$1,000,973",119,"$1,036,926",Feb 24,Filmax,false
76,Plane,-,-,-,"$975,043",253,"$975,043",Feb 10,DeAPlaneta,false
77,"20,000 Species of Bees",-,-,-,"$960,941",130,"$964,783",Apr 21,BTeam Pictures,false
78,Me he hecho viral,-,-,-,"$959,532",315,"$1,175,010",Oct 13,Warner Bros.,false
79,Everything Everywhere All at Once,-,-,-,"$929,406",295,"$1,577,967",Jun 3,Youplanet Pictures,false
80,The Amazing Maurice,-,-,-,"$927,889",311,"$928,157",Jan 20,-,false
81,Tár,-,-,-,"$922,371",197,"$922,371",Jan 27,Universal Pictures International (UPI),false
82,Asteroid City,-,-,-,"$899,964",171,"$899,964",Jun 16,Universal Pictures International (UPI),false
83,Cocaine Bear,-,-,-,"$851,679",290,"$851,679",Mar 31,Universal Pictures International (UPI),false
84,De perdidos a Río,-,-,-,"$790,387",283,"$790,387",Aug 4,Sony Pictures Entertainment (SPE),false
85,The Three Musketeers - Part I: D'Artagnan,-,-,-,"$789,412",305,"$790,284",Apr 14,DeAPlaneta,false
86,Prey for the Devil,-,-,-,"$762,135",259,"$1,082,875",Dec 30,-,false
87,Hypnotic,-,-,-,"$734,602",224,"$734,602",Oct 27,Sun Distribution,false
88,Asterix & Obelix: The Middle Kingdom,-,-,-,"$727,245",314,"$727,442",Feb 3,Notorious Pictures,false
89,Suzume,-,-,-,"$690,117",194,"$690,117",Apr 14,Sony Pictures Releasing,false
90,Cobweb,-,-,-,"$646,418",193,"$646,708",Aug 25,Vértice 360,false
91,Mi otro Jon,-,-,-,"$643,853",259,"$646,710",Oct 20,Wanda Visión S.A.,false
92,Free,-,-,-,"$604,555",59,"$606,165",Apr 21,Bosco Films,false
93,Living,-,-,-,"$584,863",79,"$616,171",Jan 6,Wanda Visión S.A.,false
94,Love & Revolution,-,-,-,"$575,234",106,"$584,933",Jul 7,Filmax,false
95,Past Lives,-,-,-,"$536,330",132,"$623,741",Nov 3,Elastica,false
96,Epic Tails,-,-,-,"$505,979",259,"$505,979",May 12,Notorious Pictures,false
97,Saben aquell,-,-,-,"$505,973",322,"$613,307",Nov 3,Warner Bros.,false
98,Demon Slayer: Kimetsu No Yaiba - To the Swordsmith Village,-,-,-,"$499,220",212,"$605,569",Mar 3,Sony Pictures Releasing,false
99,Mavka: The Forest Song,-,-,-,"$489,590",273,"$898,072",Apr 28,Selecta Visión,false
100,Missing,-,-,-,"$468,694",277,"$468,694",Feb 24,Sony Pictures Releasing,false
101,Close Your Eyes,-,-,-,"$468,405",150,"$468,405",Sep 29,Avalon,false
102,Chinas,-,-,-,"$445,317",96,"$450,788",Oct 6,A Contracorriente Films,false
103,Master Gardener,-,-,-,"$440,334",109,"$440,334",Jun 9,Caramel Films,false
104,A Brighter Tomorrow,-,-,-,"$438,119",90,"$439,356",Sep 15,-,false
105,Strays,-,-,-,"$431,639",297,"$431,639",Sep 22,Universal Pictures International (UPI),false
106,The Black Demon,-,-,-,"$411,868",182,"$436,184",Jul 7,DeAPlaneta,false
107,Verano en rojo,-,-,-,"$411,184",199,"$411,227",Sep 8,DeAPlaneta,false
108,Decision to Leave,-,-,-,"$389,773",83,"$391,245",Jan 20,Avalon,false
109,Esta ambición desmedida,-,-,-,"$367,696",148,"$428,300",Oct 27,Avalon,false
110,Aftersun,-,-,-,"$366,910",35,"$503,032",Dec 16,Elastica,false
111,The Eight Mountains,-,-,-,"$364,666",86,"$371,046",May 19,Avalon,false
112,The Girls Are Alright,-,-,-,"$359,863",72,"$359,863",Aug 25,Elastica,false
113,The Quiet Girl,-,-,-,"$354,775",54,"$355,609",Feb 24,-,false
114,The Rye Horn,-,-,-,"$350,154",80,"$397,637",Oct 13,Elastica,false
115,Marlowe,-,-,-,"$348,754",151,"$348,754",May 12,Sun Distribution,false
116,Retribution,-,-,-,"$345,764",208,"$345,764",Oct 27,-,false
117,Kandahar,-,-,-,"$342,344",227,"$342,365",Jun 16,DeAPlaneta,false
118,The Crime Is Mine,-,-,-,"$334,991",119,"$338,684",May 5,Caramel Films,false
119,Maybe I Do,-,-,-,"$333,770",215,"$333,849",Apr 21,-,false
120,Beautiful Disaster,-,-,-,"$329,051",291,"$331,841",Apr 14,Sun Distribution,false
121,The Offering,-,-,-,"$306,042",189,"$306,082",Jan 27,Vértice 360,false
122,Renfield,-,-,-,"$304,782",280,"$304,782",Apr 14,Universal Pictures International (UPI),false
123,Terrifier 2,-,-,-,"$304,628",158,"$304,731",Feb 24,Selecta Visión,false
124,Los buenos modales,-,-,-,"$298,975",300,"$298,975",Apr 28,Warner Bros.,false
125,Poker Face,-,-,-,"$295,812",226,"$295,868",Jan 13,Vértice 360,false
126,Inspector Sun,-,-,-,"$285,612",243,"$409,672",Dec 30,-,false
127,Book Club: The Next Chapter,-,-,-,"$275,752",267,"$275,752",May 12,Universal Pictures International (UPI),false
128,Empire of Light,-,-,-,"$272,022",66,"$272,022",Mar 31,Walt Disney Studios Motion Pictures,false
129,Dumb Money,-,-,-,"$262,766",223,"$262,866",Oct 5,DeAPlaneta,false
