Rank,Release Group,Worldwide,Domestic,%,Foreign,%
87,"Are You There God? It's Me, Margaret.","$21,464,043","$20,372,406",94.9%,"$1,091,637",5.1%
88,Dumb Money,"$20,036,382","$13,925,356",69.5%,"$6,111,026",30.5%
89,The Wish of the Fairy Fish,"$19,843,942",-,-,"$19,843,942",100%
90,My Happy Marriage,"$19,506,407",-,-,"$19,506,407",100%
91,The House of No Man,"$19,490,980",-,-,"$19,490,980",100%
92,Past Lives,"$19,425,947","$10,923,569",56.2%,"$8,502,378",43.8%
93,Champions,"$18,906,947","$16,271,910",86.1%,"$2,635,037",13.9%
94,IDOLiSH7 Movie: LIVE 4bit - BEYOND THE PERiOD,"$18,463,044",-,-,"$18,463,044",100%
95,The Blackening,"$18,169,453","$17,707,207",97.5%,"$462,246",2.5%
96,About My Father,"$18,167,819","$12,089,391",66.5%,"$6,078,428",33.5%
97,Retribution,"$17,985,822","$6,937,696",38.6%,"$11,048,126",61.4%
98,Mavka: The Forest Song,"$17,678,579",-,-,"$17,678,579",100%
99,The Blind,"$17,265,487","$17,265,487",100%,-,-
100,Tokyo Revengers 2: Bloody Halloween - Destiny,"$17,216,567",-,-,"$17,216,567",100%
101,Priscilla,"$16,982,259","$16,982,259",100%,-,-
102,Shin Jigen! Crayon Shin-chan the Movie,"$16,926,552",-,-,"$16,926,552",100%
103,Anatomy of a Fall,"$16,633,173","$3,189,248",19.2%,"$13,443,925",80.8%
104,The Legend & Butterfly,"$16,087,771",-,-,"$16,087,771",100%
105,Radical,"$16,029,662","$6,568,187",41%,"$9,461,475",59%
106,Die drei ??? - Erbe des Drachen,"$15,860,016",-,-,"$15,860,016",100%
107,Shin Kamen Rider,"$15,787,771",-,-,"$15,787,771",100%
108,Joy Ride,"$15,786,208","$12,897,789",81.7%,"$2,888,419",18.3%
109,Love Reset,"$15,726,067",-,-,"$15,726,067",100%
110,Hypnotic,"$15,460,906","$4,500,169",29.1%,"$10,960,737",70.9%
111,A Guilty Conscience,"$14,914,575",-,-,"$14,914,575",100%
112,Tokyo Revengers 2: Bloody Halloween - Decisive Battle,"$14,584,970",-,-,"$14,584,970",100%
113,Dr. Cheon and Lost Talisman,"$14,574,445","$84,362",0.6%,"$14,490,083",99.4%
114,Sisu,"$14,281,199","$7,265,622",50.9%,"$7,015,577",49.1%
115,Epic Tails,"$14,254,149",-,-,"$14,254,149",100%
116,Rehragout Rendezvous,"$14,127,069",-,-,"$14,127,069",100%
117,Godzilla Minus One,"$13,933,723",-,-,"$13,933,723",100%
118,There's Still Tomorrow,"$13,820,808",-,-,"$13,820,808",100%
119,His Only Son,"$13,818,286","$12,392,740",89.7%,"$1,425,546",10.3%
120,The Point Men,"$13,433,834",-,-,"$13,433,834",100%
121,Jeanne du Barry,"$13,365,258",-,-,"$13,365,258",100%
122,"Manta, Manta: Legacy","$13,078,126",-,-,"$13,078,126",100%
123,Love Again,"$12,696,584","$6,230,837",49.1%,"$6,465,747",50.9%
124,Championext,"$12,623,685",-,-,"$12,623,685",100%
125,Thanksgiving,"$12,600,000","$10,200,000",81%,"$2,400,000",19%
126,Bottoms,"$12,590,834","$12,036,071",95.6%,"$554,763",4.4%
127,3 jours max,"$12,263,468",-,-,"$12,263,468",100%
128,Face Off 6: The Ticket of Destiny,"$11,538,081",-,-,"$11,538,081",100%
129,Beau Is Afraid,"$11,480,078","$8,176,562",71.2%,"$3,303,516",28.8%
130,After Death,"$11,399,629","$11,399,629",100%,-,-
131,What's Love Got to Do with It?,"$11,108,409",-,-,"$11,108,409",100%
132,Samurai Beyond Admiration Record to the World's Best,"$10,876,188",-,-,"$10,876,188",100%
133,Honey Sweet,"$10,765,835",-,-,"$10,765,835",100%
134,The Machine,"$10,664,328","$10,458,331",98.1%,"$205,997",1.9%
135,After Everything,"$10,629,210",-,-,"$10,629,210",100%
136,Sleep,"$10,331,786",-,-,"$10,331,786",100%
137,The Nightmare Before Christmas 30th Anniversary Re-Release,"$10,253,164","$10,251,956",100%,"$1,208",<0.1%
138,The Crime Is Mine,"$10,245,067",-,-,"$10,245,067",100%
139,Sun and Concrete,"$10,119,958",-,-,"$10,119,958",100%
140,Talk to Her Undated France Release,"$9,548,882",-,-,"$9,548,882",100%
141,The Lord of the Rings: The Return of the King 2023 Re-release (20th Anniversary),"$9,412,973","$1,176,085",12.5%,"$8,236,888",87.5%
142,Kandahar,"$9,334,440","$4,813,132",51.6%,"$4,521,308",48.4%
143,House Party,"$9,284,647","$9,002,247",97%,"$282,400",3%
144,All Your Faces,"$9,056,053",-,-,"$9,056,053",100%
145,The Wandering Earth II,"$8,854,786","$5,023,132",56.7%,"$3,831,654",43.3%
146,Father & Soldier,"$8,598,322",-,-,"$8,598,322",100%
147,PreCure All Stars F,"$8,519,569",-,-,"$8,519,569",100%
148,The Holdovers,"$8,357,480","$8,357,480",100%,-,-
149,Dream,"$8,317,251",-,-,"$8,317,251",100%
150,Vacaciones de verano,"$8,206,369",-,-,"$8,206,369",100%
151,Weekend Rebels,"$8,184,539",-,-,"$8,184,539",100%
152,Ransomed,"$8,101,634","$142,101",1.8%,"$7,959,533",98.2%
153,Sur les Chemins Noirs,"$8,067,200",-,-,"$8,067,200",100%
154,Cobweb,"$8,052,474",-,-,"$8,052,474",100%
155,Freelance,"$8,011,782","$5,311,511",66.3%,"$2,700,271",33.7%
156,The Silent Service,"$7,836,539",-,-,"$7,836,539",100%
157,The Hill,"$7,665,865","$7,665,865",100%,-,-
