Rank_World,Rank_Spain,Title,Gross_Spain,Total Gross,Release Date,Distributor,Gross_World,Domestic,%,Foreign,%.1,Ratio
5,6,Fast X,13859069,"$13,859,069",May 19,Universal Pictures International (UPI),704709660,"$145,960,660",20.7%,"$558,749,000",79.3%,0.01966635309071824
97,116,Retribution,345764,"$345,764",Oct 27,-,17985822,"$6,937,696",38.6%,"$11,048,126",61.4%,0.019224253414717438
2,3,The Super Mario Bros. Movie,25876665,"$29,902,648",Apr 5,Universal Pictures International (UPI),1361990276,"$574,934,330",42.2%,"$787,055,946",57.8%,0.018999155468272962
51,71,65,1123267,"$1,123,267",Mar 24,Sony Pictures Releasing,60730568,"$32,062,904",52.8%,"$28,667,664",47.2%,0.018495908024440014
50,68,The Boogeyman,1190241,"$1,190,241",Jun 2,Walt Disney Studios Motion Pictures,67307243,"$43,244,282",64.2%,"$24,062,961",35.8%,0.017683698617695573
42,55,Air,1576191,"$1,798,861",Apr 7,Warner Bros.,90060106,"$52,460,106",58.3%,"$37,600,000",41.7%,0.017501545023720047
21,32,Dungeons & Dragons: Honor Among Thieves,3607808,"$3,685,302",Mar 31,Paramount Pictures International,208177026,"$93,277,026",44.8%,"$114,900,000",55.2%,0.01733048103012097
57,82,Asteroid City,899964,"$899,964",Jun 16,Universal Pictures International (UPI),53790731,"$28,153,025",52.3%,"$25,637,706",47.7%,0.016730837883575145
22,37,PAW Patrol: The Mighty Movie,3215512,"$3,917,916",Oct 11,Paramount Pictures International,192397305,"$65,097,305",33.8%,"$127,300,000",66.2%,0.016712874434493766
123,144,Love Again,206710,"$206,710",May 12,Sony Pictures Releasing,12696584,"$6,230,837",49.1%,"$6,465,747",50.9%,0.016280757091828794
60,88,Asterix & Obelix: The Middle Kingdom,727245,"$727,442",Feb 3,Notorious Pictures,46494699,-,-,"$46,494,699",100%,0.015641460545857067
44,63,No Hard Feelings,1342820,"$1,342,820",Jun 23,Sony Pictures Entertainment (SPE),87242276,"$50,452,282",57.8%,"$36,789,994",42.2%,0.015391849703691821
176,185,Little Bird: The Big Quest,96844,"$96,918",Sep 15,Vértigo Films,6430957,-,-,"$6,430,957",100%,0.015059033982034089
25,40,Teenage Mutant Ninja Turtles: Mutant Mayhem,2670499,"$2,670,499",Aug 25,Paramount Pictures International,180513586,"$118,613,586",65.7%,"$61,900,000",34.3%,0.014793894793048984
